Tweet,Borough,Hate Prediction,Tweet Date,Latitude,Longitude
twat,Barnet,sexism,2022-12-18 08:43:30+00:00,51.65309,-0.2002261
bang Jujj your daughter take away blessing give your wicked evil,London,religion,2022-12-18 08:25:01+00:00,51.5073359,-0.12765
removed Twitter fuckin fraud next lets call these twats foundation gone quiet calls these twats well fuckin fraud money back,London,sexism,2022-12-18 07:53:08+00:00,51.5073359,-0.12765
Yeah ignorant,Islington,disability,2022-12-18 07:19:10+00:00,51.5384287,-0.0999051
North Korea funds military security apparatus trafficking their people forced Labour,Lambeth,racism,2022-12-18 04:11:04+00:00,51.4952111,-0.1163354
want older female friends,Hackney,sexism,2022-12-18 01:49:34+00:00,51.5432402,-0.0493621
been mugged bullshit laughable gullible,Sutton,disability,2022-12-18 00:13:42+00:00,51.357464449999995,-0.17362689496950337
mean wouldn either want pissed didn,Islington,disability,2022-12-17 21:38:55+00:00,51.5384287,-0.0999051
Bald woman mental breakdown What does shave,Lambeth,sexism,2022-12-17 21:15:23+00:00,51.4952111,-0.1163354
because absolute insecure cunt,Hackney,sexism,2022-12-17 20:29:22+00:00,51.5432402,-0.0493621
Would believe cunt still here,Sutton,sexism,2022-12-17 19:25:50+00:00,51.357464449999995,-0.17362689496950337
Bess cheeky troll,Barnet,sexism,2022-12-17 19:18:24+00:00,51.65309,-0.2002261
mute name mean blocked twat still over timeline,Merton,sexism,2022-12-17 18:47:02+00:00,51.41086985,-0.18809708858824303
that problem should stay women business,Barnet,sexism,2022-12-17 18:18:24+00:00,51.65309,-0.2002261
think Alex Scott probably worst female pundit seen oddly overexposed Regardless love them there good they should just calm down touch,Hammersmith,sexism,2022-12-17 18:13:23+00:00,51.4920377,-0.2236401
Likewise obviously genes favoured wives,Lewisham,sexism,2022-12-17 18:08:31+00:00,51.4624292,-0.0101787
never women,Camden Town,sexism,2022-12-17 17:13:01+00:00,51.5423045,-0.1395604
have friends particular ethnicity dickhead Racism ignorance ignorant,Sutton,disability,2022-12-17 16:50:02+00:00,51.357464449999995,-0.17362689496950337
this uneducated idiot telling someone making positive point shut stupid,Kensington,disability,2022-12-17 16:46:25+00:00,51.4989948,-0.1991229
information referenced absolute clown,Enfield,disability,2022-12-17 15:35:21+00:00,51.6520851,-0.0810175
Much happier than discuss female issues because pretty sure opinions better than yours,City of London,sexism,2022-12-17 15:34:29+00:00,51.5156177,-0.0919983
have bare dumb think natural blonde,Kensington,disability,2022-12-17 15:24:03+00:00,51.4989948,-0.1991229
round head,London,disability,2022-12-17 14:54:35+00:00,51.5073359,-0.12765
What with gravitating towards buying female their life bath stuff Christmas,Wandsworth,sexism,2022-12-17 14:17:08+00:00,51.4570271,-0.1932607
Learn cunt downgrades people less then misogynistic towards women people have mental health Scorpion Wolf,Paddington,sexism,2022-12-17 13:32:24+00:00,51.5154795,-0.175365
cunt green hope gets stretch liberty taking prick throw punch throw pool balls bottles then stamps geezer cold Fucking,Hackney,sexism,2022-12-17 12:34:26+00:00,51.5432402,-0.0493621
boys different,Brent,sexism,2022-12-17 11:49:11+00:00,51.5639957,-0.27590641378489267
Honestly cunt nation,Richmond,sexism,2022-12-17 11:34:19+00:00,51.4613531,-0.3032767
check this retard,Enfield,disability,2022-12-17 11:32:49+00:00,51.6520851,-0.0810175
What basic bitch,Lambeth,sexism,2022-12-17 10:32:50+00:00,51.4952111,-0.1163354
another burying head sand completely clueless,City of London,disability,2022-12-17 09:31:14+00:00,51.5156177,-0.0919983
Twats,Lewisham,sexism,2022-12-17 09:06:50+00:00,51.4624292,-0.0101787
listen these mediocre hoes luhhhh pussy poppin music just keep releasing them hits,London,sexism,2022-12-17 09:03:39+00:00,51.5073359,-0.12765
Argentina colonialist nation,Richmond,racism,2022-12-17 08:43:57+00:00,51.4613531,-0.3032767
allowed dilfs,Kingston upon Thames,sexual_orientation,2022-12-17 01:40:06+00:00,51.4096275,-0.3062621
nahhh clueless funny,Richmond,disability,2022-12-17 00:23:05+00:00,51.4613531,-0.3032767
Twat,Barnet,sexism,2022-12-16 23:41:13+00:00,51.65309,-0.2002261
saying woman reproductive organs removed longer woman that your logic,Wandsworth,sexism,2022-12-16 23:24:35+00:00,51.4570271,-0.1932607
feel sorry dumb witted homophobe,Merton,sexual_orientation,2022-12-16 21:43:28+00:00,51.41086985,-0.18809708858824303
Make fitness trainers claim specialise women fitness creeps Cause there hardly difference,Barnet,sexism,2022-12-16 21:11:10+00:00,51.65309,-0.2002261
should bothered learn name change minute next,Hammersmith,disability,2022-12-16 17:55:31+00:00,51.4920377,-0.2236401
Cheap Made China consumer goods getting worse worse From factory landfill crumbling apart upon unboxing problem this garbage There nothing else left,Lewisham,racism,2022-12-16 16:42:26+00:00,51.4624292,-0.0101787
corrupt idiot should ignored,Richmond,disability,2022-12-16 16:17:54+00:00,51.4613531,-0.3032767
football does idiot,Hammersmith,disability,2022-12-16 15:54:37+00:00,51.4920377,-0.2236401
good Never nice Rude fucking bitches,Brent,sexism,2022-12-16 14:52:22+00:00,51.5639957,-0.27590641378489267
