text,hate_pred,emotion_pred,date,latitude,longitude
@wantsyouloved @JPN_PMO @sentdefender Not really when its funded by China and on the instruction of #XiJinping and the #CCPnn#XiJingping #xijinpin #CCPChina #CCPvirus #chinacoup #Taiwan,racism,disgust,2022-10-09 01:36:49+00:00,51.5073359,-0.12765
@wantsyouloved nNot really when its funded by China and on the instruction of #XiJinping and the #CCPnn#XiJingping #xijinpin #CCPChina #CCPvirus #chinacoup #Taiwan https://t.co/9Zctxk6TB7,racism,disgust,2022-10-09 01:37:37+00:00,51.5073359,-0.12765
@MetalDragon_CSY @wantsyouloved @JPN_PMO @sentdefender Not really when its funded by China and on the instruction of #XiJinping and the #CCPnn#XiJingping #xijinpin #CCPChina #CCPvirus #chinacoup #Taiwan,racism,disgust,2022-10-09 01:37:50+00:00,51.5073359,-0.12765
Not really when its funded by China and on the instruction of #XiJinping and the #CCPnn#XiJingping #xijinpin #CCPChina #CCPvirus #chinacoup #Taiwan https://t.co/2KbMdOjQsX,racism,disgust,2022-10-09 01:37:57+00:00,51.5073359,-0.12765
@chaiteawhatae @JPN_PMO Its probably being done on the instruction of #XiJinping and the China/#CCPnn#XiJingping #xijinpin #CCPChina #CCPvirus #chinacoup #Taiwan,racism,disgust,2022-10-09 01:39:03+00:00,51.5073359,-0.12765
@Fripi @Harriso54061469 @JPN_PMO Funny thing is... #NorthKorea is Chinas little pet lap dog... its funded by China and on the instruction of #XiJinping and the #CCPnn#XiJingping #xijinpin #CCPChina #CCPvirus #chinacoup #Taiwan,racism,joy,2022-10-09 01:40:55+00:00,51.5073359,-0.12765
@imnottristanp @JPN_PMO #NorthKorea is Chinas little pet lap dog... its funded by China and on the instruction of #XiJinping and the #CCPnn#XiJingping #xijinpin #CCPChina #CCPvirus #chinacoup #Taiwan,racism,disgust,2022-10-09 01:41:26+00:00,51.5073359,-0.12765
@arunningriot @JPN_PMO @IntelCrab Nope... actually #NorthKorea is Chinas little pet lap dog... its funded by China and on the instruction of #XiJinping and the #CCPnn#XiJingping #xijinpin #CCPChina #CCPvirus #chinacoup #Taiwan,racism,disgust,2022-10-09 01:42:16+00:00,51.5073359,-0.12765
#NorthKorea is Chinas little pet lap dog... ...those missiles theyve been launching... are funded by China and are going out on the instruction of #XiJinping and the #CCPnn#XiJingping #xijinpin #CCPChina #CCPvirus #chinacoup #Taiwan,racism,anger,2022-10-09 01:43:51+00:00,51.5073359,-0.12765
Open up yer bastards https://t.co/e3FZLRn8cf,racism,anger,2022-10-09 10:55:33+00:00,51.4952111,-0.1163354
Dont. Women are not good people. https://t.co/AW4tIRHBdx,sexism,sadness,2022-10-09 11:15:26+00:00,51.3713049,-0.101957
Men with goatees: why,sexism,disgust,2022-10-09 19:21:15+00:00,51.4686132,-0.3613471
Women dont deserve peace.,sexism,sadness,2022-10-09 21:30:54+00:00,51.3713049,-0.101957
@jemelehill F these Arsewipes whose ancestors were the worst kind of species to exist amp it still shows today. Black men are not good but white pirates who stole Black people bring them over to build the country they stole from another race are the good people amp Blacks are not seriously,racism,anger,2022-10-10 01:20:44+00:00,51.5073359,-0.12765
@93Matty24 Didnt Perry make a comment after the mankad in the England v India womens gameId only do it against England,sexism,anticipation,2022-10-10 08:49:03+00:00,51.5073359,-0.12765
I hope the females in his house kick him out and crank up the heating. https://t.co/I4XbKpWZdG,sexism,anger,2022-10-10 09:18:06+00:00,51.4570271,-0.1932607
small hint: the sexiest thing a man could do is invite me on a date via Google Calendar,sexism,joy,2022-10-10 10:56:04+00:00,51.5156177,-0.0919983
@stpaulswesthack @hughesdonjames @FrDidymus @dioceseoflondon @StMaryOfEton @stmatthewsbg @emmanuelnw6 Cracking idea ..a female dea,sexism,surprise,2022-10-10 12:53:18+00:00,51.5384287,-0.0999051
Men are so disappointing but unsurprising Im looking at you Rex Orange County you vile piece of shit,sexism,anger,2022-10-10 18:58:49+00:00,51.4952111,-0.1163354
@EuphoriTori Women are not allowed in this house and I am going out to dinner.,sexism,anger,2022-10-11 06:32:02+00:00,51.5073359,-0.12765
Fuck the times. Fuck terfs,religion,anger,2022-10-11 12:26:48+00:00,51.5110713,-0.0144629
@TomTalksCars Twat,sexism,anger,2022-10-11 17:02:36+00:00,51.4624292,-0.0101787
@newblueprint @ArchRose90 Or woman Reg .,sexism,anticipation,2022-10-11 20:25:35+00:00,51.4028046,0.0148142
"Spin it around a man, roll the opposite side, body him and then tuck it away is much more difficult",sexism,disgust,2022-10-11 20:54:15+00:00,51.4745706,-0.0925416
men dont want love,sexism,sadness,2022-10-11 21:19:38+00:00,51.4745706,-0.0925416
@Ex_arv_sgt These pussies will never dare try this in any other country.,sexism,anger,2022-10-11 21:29:43+00:00,51.65309,-0.2002261
@Darrrencanfield Yes a lot of Womens labidos go down whilst mens go sky high ,sexism,anticipation,2022-10-11 22:51:10+00:00,51.5760462,0.1822646
@Bruschetta_Boy If only she was female.,sexism,anticipation,2022-10-12 08:03:44+00:00,51.5423045,-0.1395604
Fear Women,sexism,fear,2022-10-12 10:03:37+00:00,51.3713049,-0.101957
@SajdaMughal Because women end up having to put their careers on the back burner when they have kids.,sexism,sadness,2022-10-12 10:42:55+00:00,51.4952111,-0.1163354
kim jong un serving cunt,sexism,anger,2022-10-12 13:50:30+00:00,51.5384287,-0.0999051
Why are men so easily confused by timingsnn#mantime #womanproblems,sexism,disgust,2022-10-12 14:01:03+00:00,51.5073359,-0.12765
@subject_beam @JamesDarcey98 @TreySparksX @livefreeordavid look up at men dot com,sexism,anticipation,2022-10-12 15:24:46+00:00,51.4570271,-0.1932607
@terrychristian Twat,sexism,anger,2022-10-12 15:46:07+00:00,51.5110713,-0.0144629
"@theJeremyVine @lizziecundy What ever happened to being a lady Isnt this something better Discovered than in some magazines, shes looking a bit desperate",sexism,disgust,2022-10-12 17:54:09+00:00,51.4624292,-0.0101787
"men love sports, women love contracting and suffering from urinary tract infections",sexism,joy,2022-10-12 22:10:33+00:00,51.5384287,-0.0999051
Low vibrational ass nigga https://t.co/xfOQbrDE9f,racism,anger,2022-10-12 22:16:46+00:00,51.65309,-0.2002261
@Ricaaduh Hello. WOMM,sexism,anticipation,2022-10-12 22:30:16+00:00,51.4745706,-0.0925416
When I say I hate men. I mean it this time,sexism,anger,2022-10-13 08:08:41+00:00,51.4570271,-0.1932607
Dirty practice of religion fucked up everything,religion,anger,2022-10-13 09:28:43+00:00,51.5073359,-0.12765
Bitches want me to take them winter wonderland but cant even act right through text messages,sexism,anger,2022-10-13 14:39:27+00:00,51.5073359,-0.12765
How do females have the ability to just burst out crying at any given second Its like a light switch. Anything can set them off too. Unreal talent,sexism,joy,2022-10-13 18:33:54+00:00,51.65309,-0.2002261
@MarvelADayProj Ive just met a girl named....,sexism,joy,2022-10-13 20:59:27+00:00,51.5432402,-0.0493621
"theres a female equivalent of every royal title- king, queen, prince, princess, duke, duchess, lord, lady etc does this mean royal aristocracy is feminist",sexism,disgust,2022-10-13 21:27:25+00:00,51.5156177,-0.0919983
@PrincessPinocch Twat,sexism,anger,2022-10-13 21:31:34+00:00,51.4745706,-0.0925416
Absolute cunts. https://t.co/LRIfcbpGoD,sexism,anger,2022-10-14 10:31:25+00:00,51.4952111,-0.1163354
Ebba Tove Elsa Nilsson put EVERYTHING into #DirtFemme,sexism,anticipation,2022-10-14 11:31:02+00:00,51.4920377,-0.2236401
Fucking Hippie Motherfffffuckers https://t.co/CQvqvNFxZQ,religion,anger,2022-10-14 12:54:14+00:00,51.5423045,-0.1395604
"@MejaFoss Decent cleavage. Always need to be in position to say to a man, Look at the face, not the",sexism,anticipation,2022-10-14 13:20:11+00:00,51.5423045,-0.1395604
Stop stepping on peoples toes/feet Brighton. Dirty southern bastards,racism,anger,2022-10-14 20:06:41+00:00,51.4686132,-0.3613471
Women have vaginas.,sexism,anticipation,2022-10-15 05:43:53+00:00,51.5423045,-0.1395604
Twat https://t.co/n9qHc9rPGi,sexism,anger,2022-10-15 05:53:46+00:00,51.5423045,-0.1395604
Men are not and will never be women.  Stop gaslighting us,sexism,anger,2022-10-15 06:11:13+00:00,51.5423045,-0.1395604
@TheTobbyBlaze @ms___dale Listen to her na.... The Babe won treat the Man Fup.,sexism,anger,2022-10-15 09:31:34+00:00,51.3713049,-0.101957
Twat https://t.co/P0P9zKHWmF,sexism,anger,2022-10-15 09:32:31+00:00,51.5423045,-0.1395604
After WOMEN fear EARLY KICK OFF ,sexism,disgust,2022-10-15 13:24:55+00:00,51.542519299999995,-0.44833493117949663
#SexPestTwitter  Female Card Special  I sometimes worry that Twitter will be the end of womens boxing  https://t.co/W6CekaAmNY,sexism,fear,2022-10-15 13:57:25+00:00,51.4745706,-0.0925416
Women are dangerous,sexism,disgust,2022-10-15 15:37:24+00:00,51.4745706,-0.0925416
@christianwolmar @JohnMul45354802 Shes not very feminine,sexism,sadness,2022-10-15 16:40:59+00:00,51.4613531,-0.3032767
@JustStop_Oil Ur all selfish twats,sexism,anger,2022-10-15 17:06:47+00:00,51.4613531,-0.3032767
Dont let a woman lead the way,sexism,optimism,2022-10-15 17:08:03+00:00,51.4745706,-0.0925416
"The senseless annual killing of dolphins in Taiji must end now. @JAPANinUK, stop the dolphin massacre for good #TaijiTerror #JapaneseKillingCove https://t.co/JvyL1JHxOY",racism,anger,2022-10-15 17:34:37+00:00,51.4028046,0.0148142
Group of girls come in the pub. Order individually wierd,sexism,disgust,2022-10-15 18:13:35+00:00,51.4028046,0.0148142
@EuropeanBob7 Imagine that head being forced out of her mothers snatch at birth Poor cunt.,sexism,anger,2022-10-15 18:33:49+00:00,51.4745706,-0.0925416
"The senseless annual killing of dolphins in Taiji must end now. @JAPANinUK, stop the dolphin massacre for good #TaijiTerror #JapaneseKillingCove https://t.co/JvyL1JquMY",racism,anger,2022-10-15 20:07:07+00:00,51.4028046,0.0148142
@cowell64807 I just cant get into womens boxing. It just doesnt feel right.,sexism,sadness,2022-10-15 22:06:54+00:00,51.4028046,0.0148142
Womens boxing gt YouTube boxing gt Mens boxing,sexism,joy,2022-10-15 22:21:58+00:00,51.4028046,0.0148142
@QPRSMALL Omg some fight that big up the ladies better than the men,sexism,anger,2022-10-15 22:23:29+00:00,51.4686132,-0.3613471
No longer with my girl. Eating dinner with a lady idk. This woman randomly goes you seem low. Your energy is low. Babe dont pmo ,sexism,sadness,2022-10-15 22:54:29+00:00,51.5154795,-0.175365
@ToveLo @SGLewis_ #pineappleslice the alleged leaked video snippet #DirtFemme https://t.co/hxCLlpBhb5,sexism,anticipation,2022-10-16 03:08:54+00:00,51.4952111,-0.1163354
@SaveYourSons An inability to understand how to balance and stabilise their male sex hormone Testosterone. If they did they would be doing all the things that would make a man happy,sexism,sadness,2022-10-16 07:45:04+00:00,51.65309,-0.2002261
"@TeresaDePelegri If you mean reality, I suspect some male customers are less threatened by a female voice. If you mean fiction, theres Arnies Terminator to add gender balance. Some male screenwriters may also have girl problems and find it easier to relate to a fake perfect girl.",sexism,anticipation,2022-10-16 09:02:03+00:00,51.65309,-0.2002261
@Faith__Stephen_ I dont trust women.,sexism,disgust,2022-10-16 09:38:37+00:00,51.3713049,-0.101957
The primates in the jungle that is the rest of the world could seriously ruin the garden of Eden that is Europe. Cant build a wall high enough so man up and shear up https://t.co/rpG6DPVp3b,racism,anger,2022-10-16 10:38:12+00:00,51.5423045,-0.1395604
Women love communication in relationships so theyll know where not to go with their other men .,sexism,optimism,2022-10-16 11:54:29+00:00,51.3713049,-0.101957
@emeraldgemeni @KMcDill @MumOfTw0 Men should grow up,sexism,anger,2022-10-16 12:33:44+00:00,51.5110713,-0.0144629
Why are these bastard Newcastle mans faking rolling around What is this Play like men ffs #MUNNEW,sexism,anger,2022-10-16 13:30:31+00:00,51.4952111,-0.1163354
Women cant even host a successful space,sexism,disgust,2022-10-16 15:08:53+00:00,51.3713049,-0.101957
Why you go say Men are scum ,sexism,anger,2022-10-16 15:54:11+00:00,51.3713049,-0.101957
"E reach women time ,una dey talk emotional intelligence",sexism,anticipation,2022-10-16 16:24:53+00:00,51.3713049,-0.101957
Women no sabi banter at all,sexism,anger,2022-10-16 16:25:06+00:00,51.3713049,-0.101957
Ufuoma no sabi handle banter space . LMAO. Women are poor in this banter business.,sexism,joy,2022-10-16 16:27:23+00:00,51.3713049,-0.101957
"@livelih00d @mammafem @Damcrazywoman @maggiefn_Ghost @redlianak Ive seen men is womans toilets most commonly establishment staff, cleaners, workmen, sometime gay male friends but most commonly Ive seen woman go into the guys as the queue in the ladies is too long and theyre desperate. Are these woman criminals of-course not",sexism,anger,2022-10-16 18:20:34+00:00,51.5110713,-0.0144629
@GitmoGinni @EricMMatheny Maybe if the Chinese government wasnt creating a new bio weapon we wouldnt be here. Your mask and vaccines will stop nothing. A vaccine that doesnt stop you from getting or spreading is not worth much,racism,anger,2022-10-16 18:36:39+00:00,51.5110713,-0.0144629
Women are ungrateful,sexism,sadness,2022-10-16 19:19:48+00:00,51.3713049,-0.101957
The PRC gov is not trustworthy. Even with basic things. I met with a group of Chinese health professionals once and told them I wanted no one from the Chinese gov. The translator however was from the embassy. I know because I met her when she arrived in the UK years earlier,racism,disgust,2022-10-16 22:24:56+00:00,51.5073359,-0.12765
"@TabethaWatching May be a stand against a misogynistic regime, but ultimately grammatically incorrect .. ",sexism,anger,2022-10-16 22:44:21+00:00,51.5110713,-0.0144629
DONT TEST ME BITCH MA PATIENCE BE TWINNING WITH YO NIGGA DICK.,racism,anger,2022-10-16 23:18:35+00:00,51.5760462,0.1822646
Guyyyyyy. Men just sabi cruise https://t.co/Ylz580L2dI,sexism,disgust,2022-10-17 00:29:42+00:00,51.3713049,-0.101957
Women are not good people. I keep saying it. https://t.co/bIOtxy7isT,sexism,anger,2022-10-17 09:10:05+00:00,51.3713049,-0.101957
DO NOT FALL IN LOVE. Its a SCAM that women use to trap men and show you pepper later .,sexism,anger,2022-10-17 09:11:33+00:00,51.3713049,-0.101957
@TransAstolfo @giddyupbill @McDonalds Should also add Ive had plenty of comments on here from apparently male accounts with strange ideas of what female players get up to in dressing rooms.,sexism,anger,2022-10-17 14:26:50+00:00,51.4613531,-0.3032767
@iseult Nice question.  Too subtle for men to understand...,sexism,joy,2022-10-17 15:25:51+00:00,51.5423045,-0.1395604
"@elonmusk @starrski71 @RenataKonkoly @EvaFoxU @kadubai11 @spideycyp_155 Imperialism should leave planet earth forever. We shouldnt be afraid of nuke threats and we as humanity should stand up against imperialism. nnThere is no development, no growth where imperialism lies. Majority of people are degradating in this.",racism,anger,2022-10-17 15:29:17+00:00,51.65309,-0.2002261
"@Humbug_McHumbug @truemagic68 Female Cameron, PR bod no substance.",sexism,disgust,2022-10-17 17:18:29+00:00,51.5073359,-0.12765
"For example, 70% of the worlds poorest people are women and girls. On top of that, our decisions, mobilities, social networks, access to finance are controlled and not the same level of access that men have.",sexism,disgust,2022-10-17 18:28:24+00:00,51.5073359,-0.12765
@iUsedToBeADuck women are so much more comfortable in their own house,sexism,joy,2022-10-17 19:29:02+00:00,51.5432402,-0.0493621
Mens business https://t.co/3CKsIPJTrI,sexism,anticipation,2022-10-18 12:14:24+00:00,51.5384287,-0.0999051
@ammaralijan @labourblackrose All based on hyper exploitation of the w/c. China has adopted the worst of western capitalism and kept the worst of Stalinism,racism,disgust,2022-10-18 12:20:36+00:00,51.4624292,-0.0101787
Nobody smokes more than a woman with a kid,sexism,sadness,2022-10-18 14:20:48+00:00,51.5154795,-0.175365
Avoid Women. We all got gifted hands. https://t.co/vIl0CfoTEC,sexism,anger,2022-10-18 14:40:44+00:00,51.5073359,-0.12765
Bet you didnt know that the Royal Navy derogatory term for a Chinese Laundryman back in Hong Kong was Chogie. May aswell call them niggers. It is a poorly thought-through slight. Outright racism which inadvertently backfires as an insult to Chinese folk. Youve outdone yself.,racism,anger,2022-10-18 16:04:28+00:00,51.5110713,-0.0144629
Why womans mess with my heart soo much,sexism,sadness,2022-10-18 19:06:06+00:00,51.4952111,-0.1163354
Just answered Im female Id tell in a Twitter poll.,sexism,anticipation,2022-10-18 19:39:08+00:00,51.4745706,-0.0925416
SYLPH Aliens swarming dumb twats head https://t.co/rop6wneaqg,sexism,anger,2022-10-18 22:11:20+00:00,51.4745706,-0.0925416
@BalogunAgbede @TheAthleticUK Bless your retarded brain,disability,anger,2022-10-18 22:28:23+00:00,51.5156177,-0.0919983
a relationship should be 50/50 i do all her work and chores for her and she lets me sit next to her and look at her,sexism,joy,2022-10-19 07:50:37+00:00,51.5423045,-0.1395604
"Na guys dey kiss, no issue. Why man go dey kiss woman . E no dey hear say women wicked https://t.co/ANWvgvZPFA",sexism,anger,2022-10-19 08:22:36+00:00,51.5073359,-0.12765
Twat. https://t.co/sUasuqSZoz,sexism,anger,2022-10-19 08:47:17+00:00,51.4624292,-0.0101787
Women rambling on about the new world order should really be shut down by @LBC shes just peddling lies and conspiracies,sexism,anger,2022-10-19 08:56:54+00:00,51.4952111,-0.1163354
@anon_opin Anyone  women.,sexism,anticipation,2022-10-19 09:01:44+00:00,51.4745706,-0.0925416
