text,prediction,date,latitude,longitude
Nasty woman avoidance doubt,sexism,2023-01-30 22:38:51+00:00,51.65309,-0.2002261
must blind dumb person with shut mind,disability,2023-01-30 22:11:31+00:00,51.357464449999995,-0.17362689496950337
definitely actor,disability,2023-01-30 22:02:00+00:00,51.4820845,-0.0045417
parents fault also 19yrs legally adult should better should protecting sister,disability,2023-01-30 21:52:08+00:00,51.5639957,-0.27590641378489267
just whore just likes female attention,sexism,2023-01-30 21:38:25+00:00,51.4745706,-0.0925416
sound slow have intellectual capacity engage this topic,disability,2023-01-30 21:32:01+00:00,51.4745706,-0.0925416
take nazi corrupt Ukraine leaches they will demand swallow billions your euros,religion,2023-01-30 21:02:28+00:00,51.3713049,-0.101957
Putin horrid cries cunt,sexism,2023-01-30 20:53:29+00:00,51.5639957,-0.27590641378489267
should arrested twat,sexism,2023-01-30 20:06:05+00:00,51.542519299999995,-0.44833493117949663
rotten barbaric evil bastard,religion,2023-01-30 19:56:39+00:00,51.5432402,-0.0493621
quicker this idiot gets flattened better Delusional mong,disability,2023-01-30 19:43:48+00:00,51.4613531,-0.3032767
Muslim dictator must,religion,2023-01-30 19:23:13+00:00,51.4028046,0.0148142
have falow Muslim dictator decision Khan,religion,2023-01-30 18:06:31+00:00,51.4028046,0.0148142
desperate effort cover their cruel racism these corrupt racist Nazi from authorities went from terrorism espionage oppressing with cruelty satisfy their racial hatred,racism,2023-01-30 16:15:33+00:00,51.5156177,-0.0919983
Male brained perhaps have male instincts,sexism,2023-01-30 15:08:06+00:00,51.542519299999995,-0.44833493117949663
Lock filthy murderous police,racism,2023-01-30 14:36:09+00:00,51.5389922,0.0804245
Some fans seem want girl approach transfers Panic that club about close after missing several high quality targets settle instead girl desperate enough Sorry those Villa gonorrhea days over,sexism,2023-01-30 14:30:24+00:00,51.5639957,-0.27590641378489267
Girls cleverer than boys,sexism,2023-01-30 14:28:24+00:00,51.5073359,-0.12765
months disgusting should throw book bastard,sexism,2023-01-30 14:01:21+00:00,51.41086985,-0.18809708858824303
Usually some poor ladies window,sexism,2023-01-30 11:38:53+00:00,51.4028046,0.0148142
Left manhole near high curb bend lall mentally retarded blind Thick pigshit,disability,2023-01-30 10:58:35+00:00,51.5423045,-0.1395604
support Puttin killing innocent people their bedrooms because others have done before because they your immediate family people mean devilish only live once nostril still inhale discharge,religion,2023-01-30 09:11:46+00:00,51.4624292,-0.0101787
very strange still supporting corrupt criminal lebanese regime instead condemning them,racism,2023-01-30 07:54:31+00:00,51.5154795,-0.175365
Rights Rights what Having hairy into females toilets then raping them,sexism,2023-01-30 07:09:04+00:00,51.5389922,0.0804245
When photoshop your make look longer forget about moobs,sexism,2023-01-30 06:59:12+00:00,51.5073359,-0.12765
sorry ryan dumb,disability,2023-01-29 22:02:53+00:00,51.4989948,-0.1991229
acts like never seen woman before like grow,sexism,2023-01-29 21:54:43+00:00,51.4745706,-0.0925416
TEAM player ever mistaken SUCKER feel sorry some because this generally happens them Women expecting help make their business ideas come life PROVIDER feels like shit when experience woman,sexism,2023-01-29 21:52:46+00:00,51.4989948,-0.1991229
Hell hath fury like woman scorned,sexism,2023-01-29 21:43:48+00:00,51.4989948,-0.1991229
Double figures from ladies mucking about,sexism,2023-01-29 21:12:45+00:00,51.4989948,-0.1991229
just retard doesn know drive,disability,2023-01-29 20:53:58+00:00,51.5423045,-0.1395604
Women dumb things when they love,sexism,2023-01-29 20:43:57+00:00,51.65309,-0.2002261
many OAPs idiot,disability,2023-01-29 20:28:06+00:00,51.65309,-0.2002261
think just plain arrogant,disability,2023-01-29 19:07:29+00:00,51.4989948,-0.1991229
Obvs woman strongly believe that kids would filling life with increasingly esoteric series hipster hobbies probably making cheese cellar something,sexism,2023-01-29 17:30:57+00:00,51.4624292,-0.0101787
still work retirement really when afford more retire twatty Hunt wouldn persuade back,sexism,2023-01-29 17:26:37+00:00,51.542519299999995,-0.44833493117949663
Someone push head into sand shout when these cunts have fucked,sexism,2023-01-29 17:25:58+00:00,51.5639957,-0.27590641378489267
Satan mimic angels even dreams,religion,2023-01-29 16:56:58+00:00,51.4820845,-0.0045417
mean taking bends properly middle lane thicko,disability,2023-01-29 16:46:29+00:00,51.5423045,-0.1395604
Fuck stupid cunt Khan,sexism,2023-01-29 16:09:10+00:00,51.5073359,-0.12765
Quote from partner gonna laser Cunt,sexism,2023-01-29 15:18:58+00:00,51.3713049,-0.101957
Doesn understand word especially when woman,sexism,2023-01-29 15:06:59+00:00,51.4686132,-0.3613471
some news fembots have feelings,sexism,2023-01-29 14:28:40+00:00,51.4745706,-0.0925416
Free Uyghurs from forced labor China,racism,2023-01-29 14:00:49+00:00,51.4028046,0.0148142
Never your wife stop from making your woman happy,sexism,2023-01-29 13:28:40+00:00,51.5639957,-0.27590641378489267
Women bring into world seems only fair,sexism,2023-01-29 12:33:46+00:00,51.4028046,0.0148142
should immigrants clean mess filthy Brits,racism,2023-01-29 12:09:20+00:00,51.4952111,-0.1163354
More specifically Feminists,sexism,2023-01-29 11:05:32+00:00,51.5384287,-0.0999051
Nothing like being watched woman painting,sexism,2023-01-29 11:01:56+00:00,51.5073359,-0.12765
fink have fooked,sexual_orientation,2023-01-29 10:58:23+00:00,51.5110713,-0.0144629
government idiot,disability,2023-01-29 09:02:36+00:00,51.6520851,-0.0810175
bbcmaster9 notifications fags,sexual_orientation,2023-01-29 07:46:23+00:00,51.5073359,-0.12765
female character ripping dress make more practical,sexism,2023-01-29 04:52:32+00:00,51.5639957,-0.27590641378489267
Thanks trying politely little boring serious laugh glass half full kind girl think male equivalent,sexism,2023-01-29 01:03:27+00:00,51.4028046,0.0148142
would China fair Covid human rights Send some home,racism,2023-01-28 23:26:42+00:00,51.5384287,-0.0999051
Didn think Zack Marcus were astronauts female that matter,sexism,2023-01-28 20:59:22+00:00,51.4416793,0.150488
Ever been thus still folk know difference between women skull bones then gait keys,sexism,2023-01-28 20:51:48+00:00,51.5639957,-0.27590641378489267
Shut silly mong,disability,2023-01-28 20:18:41+00:00,51.5423045,-0.1395604
Honestly these girls trash,sexism,2023-01-28 20:09:20+00:00,51.4952111,-0.1163354
Getting mythopoetic female friend been reading Women With Wolves gave equivalent,sexism,2023-01-28 19:00:17+00:00,51.4096275,-0.3062621
retard Look retard stop being retarded,disability,2023-01-28 18:16:32+00:00,51.542519299999995,-0.44833493117949663
height difference stupid Sorry disadvantage clear this line,disability,2023-01-28 16:23:33+00:00,51.5432402,-0.0493621
That place ultimate trap twats,sexism,2023-01-28 16:19:49+00:00,51.5384287,-0.0999051
basically women admin soft skills creating making thinking,sexism,2023-01-28 16:12:50+00:00,51.6520851,-0.0810175
Twat,sexism,2023-01-28 15:08:27+00:00,51.6520851,-0.0810175
What your problem Nigger,racism,2023-01-28 14:38:28+00:00,51.6520851,-0.0810175
Once declare most important issue century males literally female self have picked your post modern hill massacred,sexism,2023-01-28 14:25:52+00:00,51.4745706,-0.0925416
formerly still Andrew burns belongs jail Stop attaching femininity these criminal,sexism,2023-01-28 14:15:21+00:00,51.5639957,-0.27590641378489267
woke arguing risk assessment basically saying women prisoners collateral damage every time risk assessment gets wrong will wrong males should female prisons,sexism,2023-01-28 13:41:18+00:00,51.4745706,-0.0925416
woke arguing risk assessment basically saying women prisoners collateral damage every time risk assessment gets wrong will wrong males should female prisons,sexism,2023-01-28 13:40:31+00:00,51.4745706,-0.0925416
Unpopular idiot,disability,2023-01-28 13:26:12+00:00,51.5432402,-0.0493621
Woman occupying seats tells rude when down Makes sense,sexism,2023-01-28 13:22:38+00:00,51.4745706,-0.0925416
what idiots nice,disability,2023-01-28 13:13:13+00:00,51.5110713,-0.0144629
sure China escalation dominance home turf games with China every time ends nuclear This known Taiwan province China goading start nuclear sheer madness What going,racism,2023-01-28 12:10:12+00:00,51.65309,-0.2002261
women have penis,sexism,2023-01-28 12:10:01+00:00,51.5432402,-0.0493621
thought bloke dressing woman didnt realise surgery,disability,2023-01-28 11:53:09+00:00,51.65309,-0.2002261
This needs basic male biology lessons,sexism,2023-01-28 11:43:19+00:00,51.5384287,-0.0999051
amount money girl needs spend monthly hair skin nails maintenance clothes shoes accessories makeup vitamins diet ridiculous that yeah when taking girl date make sure have enough money everything,sexism,2023-01-28 09:49:46+00:00,51.5389922,0.0804245
What this tells that more likely meal deal than women,sexism,2023-01-28 09:13:04+00:00,51.4570271,-0.1932607
direct much ladies wear outside shop,sexism,2023-01-28 08:25:09+00:00,51.65309,-0.2002261
women pretend painful then Part,sexism,2023-01-28 06:40:42+00:00,51.4989948,-0.1991229
women need learn stop being SELF ENTITLED appreciate someone they what they have Then wonder stupid immature thinking girls like always lonely desperate long Think,sexism,2023-01-28 05:35:05+00:00,51.6520851,-0.0810175
Irish just Twat bell trust,sexism,2023-01-28 00:18:27+00:00,51.4028046,0.0148142
Happy birthday twat,sexism,2023-01-27 23:52:07+00:00,51.4820845,-0.0045417
Women enter labour contract with their employer that exchanges Labour money same thing,sexism,2023-01-27 23:12:09+00:00,51.5073359,-0.12765
Jesus died could faggot,sexual_orientation,2023-01-27 22:14:47+00:00,51.5423045,-0.1395604
blocked twat,sexism,2023-01-27 22:01:19+00:00,51.5073359,-0.12765
That Heskey fault cunt,sexism,2023-01-27 21:56:56+00:00,51.4745706,-0.0925416
difference between girls guys chat,sexism,2023-01-27 21:37:47+00:00,51.4745706,-0.0925416
back sleep pathetic useless irrelevant woman,sexism,2023-01-27 21:22:46+00:00,51.4952111,-0.1163354
giving girls mixed signals,sexism,2023-01-27 21:20:01+00:00,51.4745706,-0.0925416
seeing queer trans films premiered biggest screening British Institute Film bitch faggotry,sexual_orientation,2023-01-27 21:09:49+00:00,51.5423045,-0.1395604
Woman talking sense alert mean,sexism,2023-01-27 20:47:29+00:00,51.4028046,0.0148142
still spoken like stupid aged visible greys probably because blonde,disability,2023-01-27 20:45:11+00:00,51.65309,-0.2002261
actually truly think have dragged feminists What they feed wherever that overrate yourselves Type shit part likes world live,sexism,2023-01-27 20:30:16+00:00,51.65309,-0.2002261
Muslim dictator must,religion,2023-01-27 20:26:12+00:00,51.4028046,0.0148142
respect promo appearance best judge unsafe ability have seen clips Aside from that unique female wrestler have roster IMHO,sexism,2023-01-27 19:28:41+00:00,51.4745706,-0.0925416
woman clearly thick pigshit though,sexism,2023-01-27 19:18:45+00:00,51.4745706,-0.0925416
only philosopher also grammarian,disability,2023-01-27 19:00:20+00:00,51.5073359,-0.12765
wonder long would take before aunt lydia tweeted share special brand wisdom feminists what Switching responses this rubbish because COWARD,sexism,2023-01-27 19:00:20+00:00,51.5154795,-0.175365
thought what knew daft,disability,2023-01-27 18:34:32+00:00,51.4820845,-0.0045417
Bitch better have money GAMING SAID,sexism,2023-01-27 18:13:32+00:00,51.4989948,-0.1991229
When company retard gesticulating because knows camera shot glad leaving,disability,2023-01-27 17:59:50+00:00,51.5639957,-0.27590641378489267
should male prison other prisoners deal with,sexism,2023-01-27 17:42:23+00:00,51.5073359,-0.12765
Mother Pearl wouldn leave another girl,sexism,2023-01-27 17:42:19+00:00,51.5432402,-0.0493621
These known twataboutary,sexism,2023-01-27 17:35:18+00:00,51.542519299999995,-0.44833493117949663
Israelis cold blooded murderers Stop funding them,religion,2023-01-27 16:25:53+00:00,51.4989948,-0.1991229
bearded lady,disability,2023-01-27 15:57:08+00:00,51.5110713,-0.0144629
Nice Basically going fast because would woman enter corner first Twat,sexism,2023-01-27 15:18:36+00:00,51.5073359,-0.12765
female officers wear beat helmets aswell,sexism,2023-01-27 15:03:23+00:00,51.4745706,-0.0925416
roofing tomorrow next week fink might pootle back couple evenings overdraft Louie Vega tomorrow night,sexual_orientation,2023-01-27 13:06:26+00:00,51.4686132,-0.3613471
Please where pastor referred Muslims infidels waiting,religion,2023-01-27 11:58:57+00:00,51.4096275,-0.3062621
Even unsexier woman judging spends hard earned money,sexism,2023-01-27 11:41:40+00:00,51.5073359,-0.12765
What twat,sexism,2023-01-27 11:05:52+00:00,51.5073359,-0.12765
wolves Kristen last Charlie Angels film Recommend made properly feminist looked damn,sexism,2023-01-27 08:45:09+00:00,51.5384287,-0.0999051
Then they should stay away from mixed gyms only female only gyms they understand etiquette they shouldn until they,sexism,2023-01-27 02:16:36+00:00,51.4820845,-0.0045417
Still being counted female crime though Nick,sexism,2023-01-27 01:38:20+00:00,51.5639957,-0.27590641378489267
This bitch mannnn wanted dead,sexism,2023-01-27 01:35:05+00:00,51.4952111,-0.1163354
Dating girls much tell before,sexism,2023-01-26 23:03:39+00:00,51.5639957,-0.27590641378489267
waving Pathetic woman neighbours must celebrating tonight,sexism,2023-01-26 22:57:50+00:00,51.4952111,-0.1163354
waving Pathetic woman,sexism,2023-01-26 22:44:36+00:00,51.4952111,-0.1163354
need immigration dolt want retire,disability,2023-01-26 20:25:25+00:00,51.5384287,-0.0999051
think every girl,sexism,2023-01-26 19:40:38+00:00,51.4686132,-0.3613471
Fuck clueless twat,sexism,2023-01-26 19:11:36+00:00,51.3713049,-0.101957
really hate when training session doing inadvertently following girl around going TikTok just because trying sweet sesh,sexism,2023-01-26 18:58:55+00:00,51.5384287,-0.0999051
course they stupid intellect,disability,2023-01-26 18:35:42+00:00,51.65309,-0.2002261
woman hasn learnt lesson sorry attention seeker,sexism,2023-01-26 17:05:49+00:00,51.4745706,-0.0925416
like playing whack cunt,sexism,2023-01-26 16:48:57+00:00,51.65309,-0.2002261
clearly ugly gaptoothed dickheads,sexual_orientation,2023-01-26 16:39:28+00:00,51.65309,-0.2002261
what call Class twat,sexism,2023-01-26 15:29:53+00:00,51.5384287,-0.0999051
Chop what want They still female,sexism,2023-01-26 15:11:23+00:00,51.5110713,-0.0144629
What hateful despicable have that would torture children eternity What hateful belief have chosen yourself,religion,2023-01-26 14:59:11+00:00,51.5073359,-0.12765
blocked ages most innocuous thing giant weirdo sadly kiss,disability,2023-01-26 14:55:53+00:00,51.4920377,-0.2236401
Twat,sexism,2023-01-26 14:20:08+00:00,51.5423045,-0.1395604
massive cokehead,sexual_orientation,2023-01-26 14:10:33+00:00,51.4028046,0.0148142
Again woman dictate what considered masculine cause partake masculinity Much like playing football does make woman playing around bonding with sister That less masculine bird,sexism,2023-01-26 14:10:10+00:00,51.65309,-0.2002261
When first read book felt sure that girls could have been saved they only realised much boys loved them least loved looking them,sexism,2023-01-26 13:48:56+00:00,51.5384287,-0.0999051
Sulaiman need actually read Romanian before tweeting bringing female into country work industry consensually actual crime that both have both publicly admitted,sexism,2023-01-26 13:15:24+00:00,51.5423045,-0.1395604
After what they through calling faggot pussy told kill myself totally think receding hairline thing they deserve They stole confidence from many years life stole whole hair from them,sexual_orientation,2023-01-26 12:48:45+00:00,51.4989948,-0.1991229
Money Mind WOMAN,sexism,2023-01-26 10:28:09+00:00,51.5432402,-0.0493621
wait have lashes done feel like actual female lmao,sexism,2023-01-26 09:28:11+00:00,51.542519299999995,-0.44833493117949663
Indefensible even they surgery going through male puberty will mean they still stronger than females will able overpower attack them,sexism,2023-01-26 09:17:54+00:00,51.4952111,-0.1163354
There reason women children make that,sexism,2023-01-26 09:03:46+00:00,51.357464449999995,-0.17362689496950337
Tempted believe women unbelievably selfish that today London,sexism,2023-01-26 08:49:38+00:00,51.4745706,-0.0925416
Suzanna Holms Bareback Asshole With Inches Cock Massive Dildo,sexism,2023-01-26 03:31:44+00:00,51.5154795,-0.175365
carat idiot,disability,2023-01-26 02:50:30+00:00,51.5073359,-0.12765
dumb very very dumb,disability,2023-01-26 00:22:18+00:00,51.4570271,-0.1932607
that even when thinks twat,sexism,2023-01-26 00:13:13+00:00,51.5073359,-0.12765
this supposed funny pathetic juvenile,disability,2023-01-25 23:31:13+00:00,51.4989948,-0.1991229
nerve mention word suck they delusional,disability,2023-01-25 23:25:30+00:00,51.65309,-0.2002261
suppose thought this meant funny dumb idiot made himself have substance offer just shut your rather than this display outright ignorance,disability,2023-01-25 22:28:53+00:00,51.5760462,0.1822646
voting dumb,disability,2023-01-25 22:03:55+00:00,51.5126553,-0.3051952
DETERMINED create blood streets YOURS blood sheep slaughter house,religion,2023-01-25 21:53:31+00:00,51.4613531,-0.3032767
least getting women team,sexism,2023-01-25 21:49:45+00:00,51.4920377,-0.2236401
Shame imported slaves,racism,2023-01-25 21:21:16+00:00,51.3713049,-0.101957
When this woman beater prison Systems gone soft,sexism,2023-01-25 20:37:35+00:00,51.4686132,-0.3613471
Gemma allowed childminder this mockery,sexism,2023-01-25 20:17:44+00:00,51.5639957,-0.27590641378489267
Patsy Kensit cannot move face,sexism,2023-01-25 19:56:12+00:00,51.4745706,-0.0925416
mean would feel demoralised intangible opinion stranger,disability,2023-01-25 19:52:47+00:00,51.542519299999995,-0.44833493117949663
wish more learned have hobbies outside women Just things cause like them,sexism,2023-01-25 18:36:05+00:00,51.5073359,-0.12765
call tool tools least useful back your village idiot missing,disability,2023-01-25 17:59:52+00:00,51.5423045,-0.1395604
think stupid only wanna network when show what,disability,2023-01-25 16:46:42+00:00,51.4989948,-0.1991229
There should women prisons under circumstances except place literally fire hope this helps answer your question,sexism,2023-01-25 15:23:52+00:00,51.5073359,-0.12765
What your definition female rapist,sexism,2023-01-25 15:20:28+00:00,51.4028046,0.0148142
Then cunt,sexism,2023-01-25 14:51:16+00:00,51.65309,-0.2002261
penis therefore woman jeans does that make,sexism,2023-01-25 14:30:37+00:00,51.4028046,0.0148142
Stupid woman,sexism,2023-01-25 14:07:29+00:00,51.4686132,-0.3613471
should illegal women drive extremely large cars,sexism,2023-01-25 14:07:24+00:00,51.542519299999995,-0.44833493117949663
lock that cunt quite,sexism,2023-01-25 13:46:49+00:00,51.5384287,-0.0999051
need self toilet been using women bathrooms year half still have male need travel without having myself airport That what this self about,sexism,2023-01-25 11:28:06+00:00,51.5110713,-0.0144629
thinking about international student class keeps mixing words confused dumb keeps telling teacher excuse dumb could explain further,disability,2023-01-25 10:53:37+00:00,51.5384287,-0.0999051
Muslim dictator must safe London,religion,2023-01-25 10:03:53+00:00,51.4624292,-0.0101787
Utter rubbish cannot have playing full contact rugby with women,sexism,2023-01-25 09:04:01+00:00,51.65309,-0.2002261
want Share Toilet with bloke dressed Woman could potential Rapist,sexism,2023-01-25 08:56:31+00:00,51.4686132,-0.3613471
actually brazy arguing with women spaces close valentines,sexism,2023-01-25 08:46:12+00:00,51.6520851,-0.0810175
They women children test first,sexism,2023-01-25 06:21:53+00:00,51.4820845,-0.0045417
Twot,sexism,2023-01-25 05:27:09+00:00,51.5384287,-0.0999051
That babe that bragging about Pilates,sexism,2023-01-25 00:28:45+00:00,51.5073359,-0.12765
still believe women should have small things should have things spending food activities ultimately means have more ability save deposit,sexism,2023-01-24 22:18:36+00:00,51.5432402,-0.0493621
biased stupid aren they Clowns,disability,2023-01-24 22:04:56+00:00,51.65309,-0.2002261
giving girls these lines,sexism,2023-01-24 21:36:58+00:00,51.5760462,0.1822646
Silly cunt,sexism,2023-01-24 20:43:25+00:00,51.5156177,-0.0919983
Cunt,sexism,2023-01-24 19:26:33+00:00,51.3713049,-0.101957
word cunt comes mind,sexism,2023-01-24 19:12:10+00:00,51.5432402,-0.0493621
Falling doing heavy lifting here Maybe make informed choices order develop thinking probably just misogynist,sexism,2023-01-24 17:53:41+00:00,51.5073359,-0.12765
Well said Femi,sexism,2023-01-24 17:48:24+00:00,51.4989948,-0.1991229
That understand switch hard cause never nice like niggas really forgot they fucked,racism,2023-01-24 17:28:40+00:00,51.4745706,-0.0925416
estate What logic dictates best placed women estate,sexism,2023-01-24 17:22:44+00:00,51.5073359,-0.12765
This real issue female doctors scared stand ourselves because wanting that girl,sexism,2023-01-24 16:48:15+00:00,51.4989948,-0.1991229
trust male actuaries Interesting,sexism,2023-01-24 16:42:09+00:00,51.5423045,-0.1395604
could make fortune DILF room other knee,sexism,2023-01-24 16:11:20+00:00,51.41086985,-0.18809708858824303
Face mostly like woman,sexism,2023-01-24 16:09:59+00:00,51.5432402,-0.0493621
Every woman ever would disagree with,sexism,2023-01-24 16:07:28+00:00,51.5073359,-0.12765
doesn fact suggest maybe next time goes woman toilet have shave five clock shadow going there world gone totally,sexism,2023-01-24 15:14:05+00:00,51.5073359,-0.12765
suggest rethinks governments response will paying votes even hard Tory women know what menopause means matters dismiss utterly sexist uninformed,sexism,2023-01-24 14:57:49+00:00,51.41086985,-0.18809708858824303
Fully feminised,sexism,2023-01-24 14:33:25+00:00,51.5110713,-0.0144629
Good hear Conti just change whole world woman woman Personally remember very vividly seeing Jesus Christ Superstar stage school trip being done gender neutral will nothing,sexism,2023-01-24 13:50:05+00:00,51.5110713,-0.0144629
tone smug which considering article well rich,disability,2023-01-24 13:20:02+00:00,51.4745706,-0.0925416
Massive twat vibes,sexism,2023-01-24 13:19:07+00:00,51.4570271,-0.1932607
Farewell MILF,sexism,2023-01-24 13:07:31+00:00,51.4624292,-0.0101787
smug fuck dickhead,sexual_orientation,2023-01-24 11:56:26+00:00,51.4745706,-0.0925416
ooda dung phone draw fime lass idiot shirt beat down,disability,2023-01-24 11:16:48+00:00,51.542519299999995,-0.44833493117949663
change into women clothes grocery store Could normal behaviour likely avoid getting summons,sexism,2023-01-24 10:53:47+00:00,51.5384287,-0.0999051
Life expectancy falling stalled temporarily probably currently women have some sense there,sexism,2023-01-24 10:24:43+00:00,51.5073359,-0.12765
should rich,disability,2023-01-24 07:14:53+00:00,51.4686132,-0.3613471
Master back feeling disappointed cause fags their jobs properly time play show real cash fags twitter Send minimum Master Cashapp real CPMasterBDSM Cashmaster Findom Alpha Finsub Paypig Cashpig,sexual_orientation,2023-01-24 07:13:32+00:00,51.5073359,-0.12765
female,sexism,2023-01-24 06:51:03+00:00,51.4613531,-0.3032767
blocking reolies useful remind support lazy thick incompetent what helped lead here,disability,2023-01-24 06:32:20+00:00,51.4613531,-0.3032767
should have waited them waste life like they killed people house including poor family best your book because your tribal religious barbaric thinking,religion,2023-01-24 05:31:34+00:00,51.4624292,-0.0101787
Funny took comments thought wouldn have face criticism yourself shouting down female then want talk about others failings protecting women also same that Trans using Women toilets,sexism,2023-01-24 03:29:07+00:00,51.4820845,-0.0045417
Funny took comments thought wouldn have face criticism yourself shouting down female then want talk about others failings protecting women also same that Trans using Women toilets,sexism,2023-01-24 03:28:46+00:00,51.4820845,-0.0045417
work completely split between spurs arsenal gooners pretty chill generally alright APART from absolute obnoxious cunt about,sexism,2023-01-24 01:23:59+00:00,51.4989948,-0.1991229
love when bitches come with leash lock,sexism,2023-01-23 23:42:11+00:00,51.5639957,-0.27590641378489267
sorry your loss Mice pocket Childcare feminist Sounds like proper mensch Sympathy,sexism,2023-01-23 23:36:35+00:00,51.4989948,-0.1991229
